IdeAgenteAcessante,NumCNPJAgenteAcessante,NomAgenteAcessante
673,07358761000169,GERDAU ACOS LONGOS S.A.
674,0,GIASA II
675,0,GLÓRIA
676,0,GOIANDIRA
677,0,GOIANÉSIA
678,0,GOIASA
679,0,GRAVATÁ
680,0,GRAÇA BRENNAND (ANTIGA TERRA SANTA)
681,0,GSII SOLAR 1
682,0,GSII SOLAR 2
683,0,GSII SOLAR 3
684,0,GUAIMBÉ 1
685,0,GUAIMBÉ 2
686,0,GUAIMBÉ 3
687,0,GUAIMBÉ 4
688,0,GUAIMBÉ 5
689,0,GUAPORÉ
690,0,GUARANI - TANABI
691,0,GUARANI CRUZ ALTA
692,0,GUARANI CRUZ ALTA 2
693,0,GUARANI TANABI 2
694,0,GUARICANA
695,0,GUARIROBA
696,0,GUARITA
697,0,GUARY
698,0,GUATAPARÁ
699,0,GUAÇU
